Main Label,Sub Label,Sub Group,Words
...,...,...,...
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,"นาฏศิลป์, นาฏศิลป์อินเดีย"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,ท้าวลัสเตียน
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,"นางรื่น, นางสวาหะ"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,ปกป้อง
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,ความเชื่อและค่านิยม,นักษัตร
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,ธรรมชาติและสิ่งแวดล้อม,ทิศตะวันตก
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,คุณธรรมและความสัมพันธ์,"น้องชาย, บรรพบุรุษ, บิดา"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,วัตถุและของมีค่า,บุษราคัม
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,"นครราชสีมา, นครศรีธรรมราช, บุรีรัมย์, ปราสาทพระขรรค์"
