ลำดับ,ชื่อชุดการแสดง,words
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, สีน้ำเงิน, หนังใหญ่, ออกรบ, เทวดา"
2,กีปัสเรนัง,"ขบวนแห่, ขับไล่, ธงไทย, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, สิ่งชั่วร้าย, สีน้ำเงิน"
3,จตุรภาคี,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง"
4,เจ้าพระยานที,"การรบ, ความสำนึก, ชาวนา, ธงไทย, ฝั่งน้ำ, พระยา, พระลาน, สำนึก, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา, แหล่งน้ำ"
5,ชาติพันธุ์สราญ,"การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, นครปฐม, นางรื่น, พระยา, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ"
6,ชาวดอย,"การประกอบอาชีพ, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สืบทอด, เกษตรกรรม"
7,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ท่าทาง, ธงไทย, นางใน, นานาชาติ, ฟาดฟัน, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, แม่ท่า, แม่บท"
8,นบนที,"กระทุ้ง, ขอขมา, พระแม่คงคา, ลอยกระทง, สะล้อ, สิ่งศักดิ์สิทธิ์, ไทยทรงดำ"
9,นักษัตร,"กระบวนท่ารำ, ธงไทย, นักษัตร, ปกป้อง, สีน้ำเงิน"
10,นาฏ ณ วัง,"การรบ, ความภาคภูมิใจ, นาฏกรรม, พระยา, พระราชวังบวรสถานมงคล, พระราม, วังหน้า, สีน้ำเงิน, หนังใหญ่, ออกรบ"
11,นาฏยมวยไทย,"ธงไทย, บรรพบุรุษ, ปกป้อง, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว"
12,ผืนไท,"การรบ, ธงไทย, พระมหากษัตริย์, ภาคใต้, ร่มเย็น, สีน้ำเงิน, ออกรบ, อาณาประชาราษฎร์"
13,พนาธาร,ผูกพัน
14,ฟ้อนขันดอก,"กระบวนท่ารำ, การแปร, ขันดอก, ภาคเหนือ, ล้านนา, สีน้ำเงิน"
15,ฟ้อนลีลาวดี,"การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, พระลอ, พระอุโบสถ, ร่มเย็น, วังหน้า, สีน้ำเงิน, สุทธาวาส"
16,ระบำม้า,"การเดินทาง, หลงกล, เชษฐา"
17,ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา, เป็นครั้งแรก"
18,รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ชาวนา, ต่อสู้, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, สวามี, สะล้อ, หล่อเลี้ยง"
19,ล่องใต้,"การประกอบอาชีพ, การรบ, การแปร, ดินแดน, ภาคใต้, สะล้อ"
20,ลายเกราะ,"ดนตรีพื้นบ้าน, พระลอ, ภาคอีสาน, สัตว์น้ำ, สีน้ำเงิน, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน"
21,ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, ภาคอีสาน, สีน้ำเงิน, หญิงสาว, หมากกั๊บแก๊บ, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, ไม้ยาว, ไม้สั้น"
