item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กระทุ้ง, กระบวนท่ารำ, กรุงเทพมหานคร, การปั้น, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, บิดา, ผู้แสดง, วาดภาพ, วานร, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, เทวดา, แหล่งน้ำ",7,11,0,"กระทุ้ง, การปั้น, การรบ, นนทก, บิดา, ผู้แสดง, วานร, สีน้ำเงิน, สีแดง, ออกรบ, แหล่งน้ำ",
กีปัสเรนัง,"ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, สิ่งชั่วร้าย","ขบวนแห่, ขับไล่, จารีตประเพณี, ตารี, ตารีกีปัส, ธงไทย, บิดา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, วานร, สิ่งชั่วร้าย, สีน้ำเงิน, สีแดง, ไทยทรงดำ",9,11,0,"จารีตประเพณี, ตารี, ตารีกีปัส, ธงไทย, บิดา, ฝากตัว, ร่มเย็น, วานร, สีน้ำเงิน, สีแดง, ไทยทรงดำ",
จตุรภาคี,"ตารีกีปัส, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง","กะลา, ชาวเหนือ, ตะวันตก, ตารี, ตารีกีปัส, ทิศตะวันออก, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, ลำเพลิน, สีแดง, สี่ภาค, เถิดเทิง, แหล่งน้ำ",5,10,0,"กะลา, ชาวเหนือ, ตะวันตก, ตารี, ทิศตะวันออก, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ลำเพลิน, สีแดง, แหล่งน้ำ",
เจ้าพระยานที,"ความสำนึก, ฝั่งน้ำ, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา","กะลา, การรบ, ความสำนึก, ชาวนา, ธงไทย, บิดา, ฝั่งน้ำ, พระชายา, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, สืบทอด, หล่อหลอม, หล่อเลี้ยง, อสูร, อาสา, เจ้าพระยา, เทพเจ้า, แหล่งน้ำ",6,18,0,"กะลา, การรบ, ชาวนา, ธงไทย, บิดา, พระชายา, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, อสูร, อาสา, เทพเจ้า, แหล่งน้ำ",
ชาติพันธุ์สราญ,"การหลอมรวม, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","กรมศิลปากร, กะลา, การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, ตารี, นครปฐม, นางรื่น, พระพรหม, พระยา, พระสวามี, ภาคใต้, ร่มพระบารมี, ร่มเย็น, ลาวครั่ง, ลาวเวียง, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",10,16,0,"กรมศิลปากร, กะลา, การรบ, งานรื่นเริง, ตารี, นางรื่น, พระพรหม, พระยา, พระสวามี, ภาคใต้, ร่มเย็น, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อินเดีย",
ชาวดอย,"ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม","การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สีแดง, สืบทอด, อสูร, เกษตรกรรม, แหล่งน้ำ",4,11,0,"การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, มารดา, สีน้ำเงิน, สีแดง, อสูร, แหล่งน้ำ",
ตะกล้อล้อท่า,"กระบวนท่ารำ, ชาวบ้าน, ตะกร้อ, ตีลังกา, ท่าทาง, นานาชาติ, ศีรษะ, แม่ท่า","กระบวนท่ารำ, การขับร้อง, การปั้น, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ทะเล, ท่าทาง, ธงไทย, นางใน, นานาชาติ, บิดา, ปางลีลา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, เต้นสาก, เล่นน้ำ, แม่ท่า, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ",8,27,0,"การขับร้อง, การปั้น, การรบ, ความคล่องแคล่ว, ความว่องไว, ต่อสู้, ทะเล, ธงไทย, นางใน, บิดา, ปางลีลา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, เต้นสาก, เล่นน้ำ, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ",
นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สำนึก, สิ่งศักดิ์สิทธิ์","กระทุ้ง, กะลา, ขอขมา, นนทก, พระคเณศ, พระแม่คงคา, ลอยกระทง, ลายเส้น, สะล้อ, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, ไทยทรงดำ",4,9,1,"กระทุ้ง, กะลา, นนทก, พระคเณศ, ลายเส้น, สะล้อ, สีน้ำเงิน, สีแดง, ไทยทรงดำ",สำนึก
นักษัตร,"กระบวนท่ารำ, นักษัตร, ปกป้อง","กระบวนท่ารำ, กะลา, ความว่องไว, ตารี, ธงไทย, นักษัตร, บิดา, ปกป้อง, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",3,10,0,"กะลา, ความว่องไว, ตารี, ธงไทย, บิดา, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",
นาฏ ณ วัง,"ความภาคภูมิใจ, นาฏกรรม, ราชสำนัก, รำลึก, วังหน้า, หนังใหญ่","กะลา, การรบ, ความภาคภูมิใจ, ทัพหน้า, นาฏกรรม, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, ราชสำนัก, ร้อนแรง, ละครนอก, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, แหล่งน้ำ",5,16,1,"กะลา, การรบ, ทัพหน้า, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, ร้อนแรง, ละครนอก, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, แหล่งน้ำ",รำลึก
นาฏยมวยไทย,"บรรพบุรุษ, มวยโบราณ, ศิลปะป้องกันตัว","ธงไทย, บรรพบุรุษ, บิดา, ปกป้อง, ปางลีลา, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, สมัยโบราณ, สังสรรค์, สีแดง, หลักฐาน, แหล่งน้ำ",3,11,0,"ธงไทย, บิดา, ปกป้อง, ปางลีลา, มวยไทย, มโนราห์, สมัยโบราณ, สังสรรค์, สีแดง, หลักฐาน, แหล่งน้ำ",
ผืนไท,"ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์, เชื้อชาติ","กรมศิลปากร, กะลา, การรบ, ขั้นพื้นฐาน, ธงไทย, นักษัตร, บิดา, พระชายา, พระมหากษัตริย์, พระอุมา, พาลี, ภาคกลาง, ภาคใต้, มรกต, ร่มเย็น, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาณาประชาราษฎร์, อาสา, เชื้อชาติ",5,17,0,"กรมศิลปากร, กะลา, การรบ, ขั้นพื้นฐาน, นักษัตร, บิดา, พระชายา, พระอุมา, พาลี, ภาคกลาง, ภาคใต้, มรกต, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาสา",
พนาธาร,ผูกพัน,"ขั้นพื้นฐาน, บิดา, ผูกพัน, สังสรรค์, สีน้ำเงิน, สีแดง",1,5,0,"ขั้นพื้นฐาน, บิดา, สังสรรค์, สีน้ำเงิน, สีแดง",
ฟ้อนขันดอก,"กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา","กระบวนท่ารำ, การแปร, ขันดอก, ชาวเหนือ, ช่อดอกไม้, ดอกไม้เงิน, นานาชาติ, ภาคเหนือ, ล้านนา, สีน้ำเงิน, สีแดง, หน่อไม้, แหล่งน้ำ",4,9,0,"การแปร, ชาวเหนือ, ช่อดอกไม้, ดอกไม้เงิน, นานาชาติ, สีน้ำเงิน, สีแดง, หน่อไม้, แหล่งน้ำ",
ฟ้อนลีลาวดี,"ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส","การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, ทัพหน้า, บิดา, พระลอ, พระอุมา, พระอุโบสถ, ร่มเย็น, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, สุทธาวาส, เครื่องดนตรี, แหล่งน้ำ",6,11,0,"การรบ, ตารี, ทัพหน้า, บิดา, พระลอ, พระอุมา, สังสรรค์, สีน้ำเงิน, สีแดง, เครื่องดนตรี, แหล่งน้ำ",
