item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา",7,1,0,การรบ,
กีปัสเรนัง,"ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, สิ่งชั่วร้าย","ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, สิ่งชั่วร้าย",9,1,0,ร่มเย็น,
จตุรภาคี,"ตารีกีปัส, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง",5,3,0,"ตารี, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ",
เจ้าพระยานที,"ความสำนึก, ฝั่งน้ำ, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา","ความสำนึก, ฝั่งน้ำ, พระยา, สำนึก, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา",6,2,0,"พระยา, สำนึก",
ชาติพันธุ์สราญ,"การหลอมรวม, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",10,1,0,งานรื่นเริง,
ชาวดอย,"ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม","การประกอบอาชีพ, ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม",4,1,0,การประกอบอาชีพ,
ตะกล้อล้อท่า,"กระบวนท่ารำ, ชาวบ้าน, ตะกร้อ, ตีลังกา, ท่าทาง, นานาชาติ, ศีรษะ, แม่ท่า","กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ท่าทาง, นานาชาติ, ฟาดฟัน, ศีรษะ, แม่ท่า",8,5,0,"การรบ, ความคล่องแคล่ว, ความว่องไว, ต่อสู้, ฟาดฟัน",
นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สำนึก, สิ่งศักดิ์สิทธิ์","ขอขมา, พระแม่คงคา, ลอยกระทง, สิ่งศักดิ์สิทธิ์",4,0,1,,สำนึก
นักษัตร,"กระบวนท่ารำ, นักษัตร, ปกป้อง","กระบวนท่ารำ, นักษัตร, ปกป้อง",3,0,0,,
นาฏ ณ วัง,"ความภาคภูมิใจ, นาฏกรรม, ราชสำนัก, รำลึก, วังหน้า, หนังใหญ่","ความภาคภูมิใจ, นาฏกรรม, พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่",4,1,2,พระราชวังบวรสถานมงคล,"ราชสำนัก, รำลึก"
