ลำดับ,ชื่อชุดการแสดง,words
1,กรุงเทพ,"กระทุ้ง, กระบวนท่ารำ, กรุงเทพมหานคร, การปั้น, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, บิดา, ผู้แสดง, วาดภาพ, วานร, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, เทวดา, แหล่งน้ำ"
2,กีปัสเรนัง,"ขบวนแห่, ขับไล่, จารีตประเพณี, ตารี, ตารีกีปัส, ธงไทย, บิดา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, วานร, สิ่งชั่วร้าย, สีน้ำเงิน, สีแดง, ไทยทรงดำ"
3,จตุรภาคี,"กะลา, ชาวเหนือ, ตะวันตก, ตารี, ตารีกีปัส, ทิศตะวันออก, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, ลำเพลิน, สีแดง, สี่ภาค, เถิดเทิง, แหล่งน้ำ"
4,เจ้าพระยานที,"กะลา, การรบ, ความสำนึก, ชาวนา, ธงไทย, บิดา, ฝั่งน้ำ, พระชายา, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, สืบทอด, หล่อหลอม, หล่อเลี้ยง, อสูร, อาสา, เจ้าพระยา, เทพเจ้า, แหล่งน้ำ"
5,ชาติพันธุ์สราญ,"กรมศิลปากร, กะลา, การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, ตารี, นครปฐม, นางรื่น, พระพรหม, พระยา, พระสวามี, ภาคใต้, ร่มพระบารมี, ร่มเย็น, ลาวครั่ง, ลาวเวียง, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ"
6,ชาวดอย,"การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สีแดง, สืบทอด, อสูร, เกษตรกรรม, แหล่งน้ำ"
7,ตะกล้อล้อท่า,"กระบวนท่ารำ, การขับร้อง, การปั้น, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ทะเล, ท่าทาง, ธงไทย, นางใน, นานาชาติ, บิดา, ปางลีลา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, เต้นสาก, เล่นน้ำ, แม่ท่า, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ"
8,นบนที,"กระทุ้ง, กะลา, ขอขมา, นนทก, พระคเณศ, พระแม่คงคา, ลอยกระทง, ลายเส้น, สะล้อ, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, ไทยทรงดำ"
9,นักษัตร,"กระบวนท่ารำ, กะลา, ความว่องไว, ตารี, ธงไทย, นักษัตร, บิดา, ปกป้อง, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
10,นาฏ ณ วัง,"กะลา, การรบ, ความภาคภูมิใจ, ทัพหน้า, นาฏกรรม, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, ราชสำนัก, ร้อนแรง, ละครนอก, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, แหล่งน้ำ"
11,นาฏยมวยไทย,"ธงไทย, บรรพบุรุษ, บิดา, ปกป้อง, ปางลีลา, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, สมัยโบราณ, สังสรรค์, สีแดง, หลักฐาน, แหล่งน้ำ"
