ลำดับ,ชื่อชุดการแสดง,words
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, บิดา, วาดภาพ, วานร, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, เทวดา, แหล่งน้ำ"
2,กีปัสเรนัง,"ขบวนแห่, ขับไล่, จารีตประเพณี, ตารี, ธงไทย, บิดา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, วานร, สิ่งชั่วร้าย, สีน้ำเงิน, สีแดง, ไทยทรงดำ"
3,จตุรภาคี,"กะลา, ชาวเหนือ, ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สีแดง, สี่ภาค, เถิดเทิง, แหล่งน้ำ"
4,เจ้าพระยานที,"กะลา, การรบ, ความสำนึก, ชาวนา, ธงไทย, บิดา, ฝั่งน้ำ, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, สืบทอด, หล่อหลอม, หล่อเลี้ยง, อสูร, อาสา, เจ้าพระยา, แหล่งน้ำ"
5,ชาติพันธุ์สราญ,"กะลา, การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, ตารี, นครปฐม, นางรื่น, พระยา, พระสวามี, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ"
6,ชาวดอย,"การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สีแดง, สืบทอด, อสูร, เกษตรกรรม, แหล่งน้ำ"
7,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ทะเล, ท่าทาง, ธงไทย, นางใน, นานาชาติ, บิดา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แม่ท่า, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ"
8,นบนที,"กระทุ้ง, กะลา, ขอขมา, นนทก, พระแม่คงคา, ลอยกระทง, สะล้อ, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, ไทยทรงดำ"
9,นักษัตร,"กระบวนท่ารำ, กะลา, ตารี, ธงไทย, นักษัตร, บิดา, ปกป้อง, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
10,นาฏ ณ วัง,"กะลา, การรบ, ความภาคภูมิใจ, นาฏกรรม, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, ราชสำนัก, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, แหล่งน้ำ"
11,นาฏยมวยไทย,"ธงไทย, บรรพบุรุษ, บิดา, ปกป้อง, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, สมัยโบราณ, สังสรรค์, สีแดง, แหล่งน้ำ"
12,ผืนไท,"กะลา, การรบ, ธงไทย, บิดา, พระมหากษัตริย์, พาลี, ภาคใต้, มรกต, ร่มเย็น, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาณาประชาราษฎร์, อาสา, เชื้อชาติ"
13,พนาธาร,"บิดา, ผูกพัน, สังสรรค์, สีน้ำเงิน, สีแดง"
