item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, สีน้ำเงิน, หนังใหญ่, ออกรบ, เทวดา",7,3,0,"การรบ, สีน้ำเงิน, ออกรบ",
กีปัสเรนัง,"ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, สิ่งชั่วร้าย","ขบวนแห่, ขับไล่, ธงไทย, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, สิ่งชั่วร้าย, สีน้ำเงิน",9,4,0,"ธงไทย, ฝากตัว, ร่มเย็น, สีน้ำเงิน",
จตุรภาคี,"ตารีกีปัส, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง",5,3,0,"ตารี, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ",
เจ้าพระยานที,"ความสำนึก, ฝั่งน้ำ, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา","การรบ, ความสำนึก, ชาวนา, ธงไทย, ฝั่งน้ำ, พระยา, พระลาน, สำนึก, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา, แหล่งน้ำ",6,7,0,"การรบ, ชาวนา, ธงไทย, พระยา, พระลาน, สำนึก, แหล่งน้ำ",
ชาติพันธุ์สราญ,"การหลอมรวม, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, นครปฐม, นางรื่น, พระยา, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",10,6,0,"การรบ, งานรื่นเริง, นางรื่น, พระยา, ภาคใต้, อินเดีย",
ชาวดอย,"ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม","การประกอบอาชีพ, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สืบทอด, เกษตรกรรม",4,3,0,"การประกอบอาชีพ, มารดา, สีน้ำเงิน",
ตะกล้อล้อท่า,"กระบวนท่ารำ, ชาวบ้าน, ตะกร้อ, ตีลังกา, ท่าทาง, นานาชาติ, ศีรษะ, แม่ท่า","กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ท่าทาง, ธงไทย, นางใน, นานาชาติ, ฟาดฟัน, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, แม่ท่า, แม่บท",8,11,0,"การรบ, ความคล่องแคล่ว, ความว่องไว, ต่อสู้, ธงไทย, นางใน, ฟาดฟัน, ศิลปะป้องกันตัว, สะล้อ, สีน้ำเงิน, แม่บท",
นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สำนึก, สิ่งศักดิ์สิทธิ์","กระทุ้ง, ขอขมา, พระแม่คงคา, ลอยกระทง, สะล้อ, สิ่งศักดิ์สิทธิ์, ไทยทรงดำ",4,3,1,"กระทุ้ง, สะล้อ, ไทยทรงดำ",สำนึก
นักษัตร,"กระบวนท่ารำ, นักษัตร, ปกป้อง","กระบวนท่ารำ, ธงไทย, นักษัตร, ปกป้อง, สีน้ำเงิน",3,2,0,"ธงไทย, สีน้ำเงิน",
นาฏ ณ วัง,"ความภาคภูมิใจ, นาฏกรรม, ราชสำนัก, รำลึก, วังหน้า, หนังใหญ่","การรบ, ความภาคภูมิใจ, นาฏกรรม, พระยา, พระราชวังบวรสถานมงคล, พระราม, วังหน้า, สีน้ำเงิน, หนังใหญ่, ออกรบ",4,6,2,"การรบ, พระยา, พระราชวังบวรสถานมงคล, พระราม, สีน้ำเงิน, ออกรบ","ราชสำนัก, รำลึก"
นาฏยมวยไทย,"บรรพบุรุษ, มวยโบราณ, ศิลปะป้องกันตัว","ธงไทย, บรรพบุรุษ, ปกป้อง, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว",3,3,0,"ธงไทย, ปกป้อง, มวยไทย",
ผืนไท,"ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์, เชื้อชาติ","การรบ, ธงไทย, พระมหากษัตริย์, ภาคใต้, ร่มเย็น, สีน้ำเงิน, ออกรบ, อาณาประชาราษฎร์",4,4,1,"การรบ, ภาคใต้, สีน้ำเงิน, ออกรบ",เชื้อชาติ
พนาธาร,ผูกพัน,ผูกพัน,1,0,0,,
ฟ้อนขันดอก,"กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา","กระบวนท่ารำ, การแปร, ขันดอก, ภาคเหนือ, ล้านนา, สีน้ำเงิน",4,2,0,"การแปร, สีน้ำเงิน",
ฟ้อนลีลาวดี,"ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส","การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, พระลอ, พระอุโบสถ, ร่มเย็น, วังหน้า, สีน้ำเงิน, สุทธาวาส",6,4,0,"การรบ, ตารี, พระลอ, สีน้ำเงิน",
ระบำม้า,การเดินทาง,"การเดินทาง, หลงกล, เชษฐา",1,2,0,"หลงกล, เชษฐา",
ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, เป็นครั้งแรก","ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา, เป็นครั้งแรก",3,3,0,"ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา",
